4919,130.00,5.50,4.42%,64.77
3675,164.00,7.00,4.46%,64.00
6573,30.10,2.00,7.12%,56.36
6716,213.00,19.00,9.79%,54.91
5227,25.50,1.30,5.37%,52.24
3189,195.50,14.50,8.01%,50.38
6215,35.85,3.25,9.97%,48.76
3372,28.00,2.20,8.53%,48.15
3035,109.00,-5.00,-4.39%,47.30
6287,12.50,0.00,0.00%,45.35
3122,51.50,4.10,8.65%,42.66
6243,22.60,-0.35,-1.53%,41.69
2358,21.10,0.50,2.43%,41.61
5425,87.40,4.60,5.56%,40.97
3707,107.00,7.40,7.43%,40.60
5299,225.50,9.50,4.40%,40.06
3588,118.50,10.50,9.72%,39.41
3530,230.00,17.00,7.98%,38.97
6509,58.30,4.30,7.96%,38.15
8476,29.70,-1.00,-3.26%,38.14
6229,42.10,3.80,9.92%,36.47
2369,26.20,0.90,3.56%,35.05
5351,38.10,2.35,6.57%,34.63
8255,221.00,20.00,9.95%,34.27
3383,6.17,0.56,9.98%,34.13
6104,92.70,8.40,9.96%,33.57
8289,24.80,2.15,9.49%,33.33
5285,122.50,3.50,2.94%,33.15
2497,42.30,0.75,1.81%,33.02
3527,155.50,4.00,2.64%,32.34
