6170,47.15,4.25,9.91%,98.76
2614,56.20,-6.20,-9.94%,96.50
2032,37.20,3.35,9.90%,83.70
6509,58.30,4.30,7.96%,82.47
5464,38.00,2.15,6.00%,82.25
8255,221.00,20.00,9.95%,75.34
9962,19.15,1.70,9.74%,72.52
6287,12.50,0.00,0.00%,70.07
2025,6.60,0.60,10.00%,69.23
674191,343.50,23.50,7.34%,67.56
2030,39.25,3.55,9.94%,65.96
2007,23.65,2.15,10.00%,62.54
5425,87.40,4.60,5.56%,61.55
3189,195.50,14.50,8.01%,60.25
2476,55.50,-0.70,-1.25%,59.94
4919,130.00,5.50,4.42%,59.51
3141,153.50,13.50,9.64%,59.07
2612,76.80,6.90,9.87%,58.72
2023,36.80,3.10,9.20%,58.62
3675,164.00,7.00,4.46%,57.69
2022,24.20,2.20,10.00%,57.14
2486,51.80,1.10,2.17%,56.73
2605,46.40,4.20,9.95%,54.67
6756,501.00,-1.00,-0.20%,54.63
6573,30.10,2.00,7.12%,53.96
2024,27.00,2.45,9.98%,53.85
5285,122.50,3.50,2.94%,53.51
4739,121.50,8.50,7.52%,53.41
2481,100.00,1.90,1.94%,53.37
911622,9.14,0.83,9.99%,53.36
