6226,17.05,1.55,10.00%,60.09
4945,85.00,1.10,1.31%,41.90
5321,45.00,2.40,5.63%,40.41
8261,124.50,8.00,6.87%,35.92
9962,25.60,2.30,9.87%,32.64
3221,34.80,1.70,5.14%,27.94
5905,19.10,-0.20,-1.04%,27.76
6727,119.00,-3.00,-2.46%,26.73
3556,100.50,-1.50,-1.47%,26.57
6568,182.50,16.50,9.94%,25.86
8476,38.60,3.50,9.97%,24.72
8054,67.10,-1.20,-1.76%,23.57
2491,38.00,3.40,9.83%,23.38
6594,55.90,1.90,3.52%,22.59
6525,111.50,4.50,4.21%,22.26
2007,29.45,2.65,9.89%,22.20
6164,14.50,1.30,9.85%,20.83
6469,237.50,21.50,9.95%,20.80
3006,197.00,0.50,0.25%,20.49
3545,270.50,24.50,9.96%,19.96
6243,26.00,-2.00,-7.14%,19.27
5351,45.50,-0.35,-0.76%,19.11
6104,120.50,-2.50,-2.03%,18.72
3016,97.80,-3.20,-3.17%,18.12
3167,77.00,7.00,10.00%,17.02
6642,103.50,9.40,9.99%,16.95
2438,12.10,-0.05,-0.41%,16.91
2486,62.60,-1.90,-2.95%,16.14
4760,140.50,6.50,4.85%,16.12
4956,31.15,2.80,9.88%,15.80
