3663,38.20,3.45,9.93%,32.87
1783,54.60,4.95,9.97%,26.68
3114,31.50,2.85,9.95%,20.00
5321,53.00,0.50,0.95%,19.37
6538,132.00,11.50,9.54%,15.79
6143,65.00,5.90,9.98%,14.84
2615,248.00,22.50,9.98%,14.55
3054,23.05,-1.45,-5.92%,13.55
8367,54.20,4.85,9.83%,11.75
6469,253.50,22.50,9.74%,10.94
5269,2105.00,190.00,9.92%,10.79
5608,54.40,4.90,9.90%,10.34
6706,212.00,19.00,9.84%,9.28
3021,24.60,-0.40,-1.60%,9.09
2605,41.90,3.70,9.69%,8.55
2441,95.50,3.10,3.35%,8.52
6231,99.50,-3.00,-2.93%,8.39
8222,16.95,1.00,6.27%,7.96
9914,327.00,20.50,6.69%,7.92
8046,416.00,32.50,8.47%,7.91
3031,27.50,2.50,10.00%,7.84
2007,31.75,2.85,9.86%,7.81
2371,25.70,1.70,7.08%,7.53
2641,32.45,1.10,3.51%,7.27
2606,67.20,6.10,9.98%,6.90
2637,83.20,7.50,9.91%,6.67
4541,26.85,1.95,7.83%,6.13
2538,10.60,0.63,6.32%,6.11
2359,18.35,0.75,4.26%,6.07
1517,32.20,1.85,6.10%,5.92
