3663,38.20,3.45,9.93%,46.36
1783,54.60,4.95,9.97%,37.19
3031,27.50,2.50,10.00%,30.33
6143,65.00,5.90,9.98%,26.21
3114,31.50,2.85,9.95%,25.25
6287,16.80,1.50,9.80%,24.44
5321,53.00,0.50,0.95%,24.41
6568,205.00,-1.00,-0.49%,23.49
8289,29.20,1.75,6.38%,23.21
3021,24.60,-0.40,-1.60%,23.00
8367,54.20,4.85,9.83%,22.62
6538,132.00,11.50,9.54%,22.22
8222,16.95,1.00,6.27%,21.94
1517,32.20,1.85,6.10%,20.60
1451,24.10,-0.50,-2.03%,19.60
3691,233.00,-1.50,-0.64%,18.88
2007,31.75,2.85,9.86%,18.47
6706,212.00,19.00,9.84%,18.44
4541,26.85,1.95,7.83%,17.76
6469,253.50,22.50,9.74%,17.36
8436,331.50,-4.50,-1.34%,14.31
2928,31.55,-0.05,-0.16%,14.10
3054,23.05,-1.45,-5.92%,13.83
5269,2105.00,190.00,9.92%,13.78
6525,121.50,11.00,9.95%,13.55
6226,17.60,1.60,10.00%,13.55
3221,37.40,3.40,10.00%,12.99
3147,61.00,1.10,1.84%,12.96
1456,24.05,-0.50,-2.04%,12.91
3357,175.00,-2.00,-1.13%,12.90
