6287,16.80,1.50,9.80%,95.35
6226,17.60,1.60,10.00%,92.35
6104,124.50,11.00,9.69%,79.39
4919,136.50,4.00,3.02%,73.00
8261,129.50,11.50,9.75%,71.75
5351,48.35,0.00,0.00%,70.85
3675,169.50,15.00,9.71%,69.50
6727,117.50,8.00,7.31%,66.90
3556,108.50,9.70,9.82%,65.40
5321,53.00,0.50,0.95%,65.37
6229,50.00,3.10,6.61%,62.07
3372,30.60,2.75,9.87%,61.90
8476,34.50,0.30,0.88%,60.47
3663,38.20,3.45,9.93%,57.53
8289,29.20,1.75,6.38%,56.99
5299,251.50,13.00,5.45%,56.21
3221,37.40,3.40,10.00%,54.23
6525,121.50,11.00,9.95%,53.60
1783,54.60,4.95,9.97%,53.59
2358,22.85,1.00,4.58%,53.36
6243,24.45,1.25,5.39%,53.29
5269,2105.00,190.00,9.92%,53.09
6568,205.00,-1.00,-0.49%,51.85
4952,84.40,1.40,1.69%,50.98
8215,38.10,1.30,3.53%,50.95
3588,128.00,9.50,8.02%,50.59
5227,25.10,1.25,5.24%,49.85
3189,194.00,14.50,8.08%,49.23
4945,76.80,3.30,4.49%,47.98
3035,108.00,3.00,2.86%,47.16
