3663,34.75,3.15,9.97%,32.89
1783,49.65,4.50,9.97%,23.51
3021,25.00,0.20,0.81%,21.95
3054,24.50,2.20,9.87%,20.39
5321,52.50,3.70,7.58%,16.67
3691,234.50,21.00,9.84%,16.67
2465,67.20,-2.50,-3.59%,16.46
6143,59.10,-3.00,-4.83%,14.76
6231,102.50,8.90,9.51%,14.65
4529,11.80,-0.70,-5.60%,13.46
6158,34.50,1.40,4.23%,13.11
6568,206.00,-1.50,-0.72%,12.88
8436,336.00,2.00,0.60%,12.00
3114,28.65,2.35,8.94%,11.91
8222,15.95,1.00,6.69%,11.54
5344,22.80,-2.00,-8.06%,11.22
1451,24.60,1.30,5.58%,11.06
6538,120.50,-4.50,-3.60%,11.06
6148,14.90,1.25,9.16%,10.37
8215,36.80,-1.95,-5.03%,10.18
1517,30.35,-0.65,-2.10%,9.17
1456,24.55,2.20,9.84%,8.63
4541,24.90,0.80,3.32%,8.26
3031,25.00,-1.80,-6.72%,7.76
4960,12.50,0.50,4.17%,7.30
3357,177.00,8.50,5.04%,7.27
674191,395.00,9.50,2.46%,7.19
2399,25.20,-1.10,-4.18%,7.01
8289,27.45,1.65,6.40%,6.40
5351,48.35,-5.35,-9.96%,6.26
