2641,31.35,2.85,10.00%,10.00
2615,225.50,20.50,10.00%,10.00
3663,34.75,3.15,9.97%,9.97
1783,49.65,4.50,9.97%,9.97
3054,24.50,2.20,9.87%,9.87
1456,24.55,2.20,9.84%,9.84
3691,234.50,21.00,9.84%,9.84
6231,102.50,8.90,9.51%,9.51
6148,14.90,1.25,9.16%,9.16
3114,28.65,2.35,8.94%,8.94
5321,52.50,3.70,7.58%,7.58
8222,15.95,1.00,6.69%,6.69
5608,49.50,3.00,6.45%,6.45
2007,28.90,1.75,6.45%,6.45
8289,27.45,1.65,6.40%,6.40
1451,24.60,1.30,5.58%,5.58
6547,275.50,14.00,5.35%,5.35
3526,196.50,9.50,5.08%,5.08
3236,30.00,1.45,5.08%,5.08
3357,177.00,8.50,5.04%,5.04
911622,7.87,0.36,4.79%,4.79
4934,30.40,1.35,4.65%,4.65
6158,34.50,1.40,4.23%,4.23
4960,12.50,0.50,4.17%,4.17
2603,131.50,5.00,3.95%,3.95
2030,42.60,1.60,3.90%,3.90
2406,26.30,0.95,3.75%,3.75
3005,58.50,2.10,3.72%,3.72
2409,21.25,0.75,3.66%,3.66
8255,229.50,7.50,3.38%,3.38
