9962,25.60,2.30,9.87%,133.79
6509,67.60,1.50,2.27%,104.54
2007,29.35,0.20,0.69%,101.72
2025,7.40,0.10,1.37%,101.63
2032,39.55,-2.75,-6.50%,98.83
6104,122.50,11.00,9.87%,96.31
6170,46.90,4.25,9.96%,95.32
2030,44.85,-4.15,-8.47%,92.49
2486,60.10,-1.30,-2.12%,86.65
6727,116.50,10.50,9.91%,82.89
8255,249.50,18.00,7.78%,82.23
1795,154.50,14.00,9.96%,81.72
4919,147.50,13.00,9.67%,79.00
5475,50.80,3.20,6.72%,78.87
6573,31.40,-1.45,-4.41%,67.91
2358,23.50,0.50,2.17%,66.67
4739,131.50,11.00,9.13%,66.61
3122,61.70,3.90,6.75%,63.66
3588,135.00,8.50,6.72%,63.64
6229,49.80,-0.70,-1.39%,63.55
2069,43.00,-2.10,-4.66%,61.35
2476,61.10,0.30,0.49%,60.79
5351,41.70,3.75,9.88%,60.69
3372,30.50,1.65,5.72%,60.53
6243,25.70,2.30,9.83%,60.12
8476,33.50,1.10,3.40%,59.52
4945,79.50,7.20,9.96%,58.05
5299,250.00,19.00,8.23%,57.73
6226,14.10,1.25,9.73%,57.54
3675,163.50,5.50,3.48%,57.21
