5321,42.60,3.85,9.94%,32.92
4945,79.50,7.20,9.96%,32.72
9962,25.60,2.30,9.87%,32.64
6226,14.10,1.25,9.73%,32.39
2438,13.05,0.60,4.82%,26.09
3556,99.70,9.00,9.92%,25.57
6727,116.50,10.50,9.91%,24.07
8054,67.10,6.10,10.00%,23.57
2007,29.35,0.20,0.69%,21.78
3016,100.50,9.00,9.84%,21.38
3438,109.00,0.50,0.46%,20.98
5905,18.05,0.05,0.28%,20.74
6104,122.50,11.00,9.87%,20.69
3122,61.70,3.90,6.75%,19.81
5227,29.50,2.65,9.87%,19.19
6594,53.90,-1.20,-2.18%,18.20
5475,50.80,3.20,6.72%,18.14
6472,311.00,28.00,9.89%,18.03
6243,25.70,2.30,9.83%,17.89
3686,22.70,-0.60,-2.58%,17.62
3202,15.65,1.05,7.19%,16.79
5302,18.00,1.60,9.76%,15.76
8261,106.00,9.60,9.96%,15.72
6547,299.00,18.50,6.60%,15.67
2491,35.50,-1.70,-4.57%,15.26
1795,154.50,14.00,9.96%,14.87
8415,45.20,3.95,9.58%,14.43
6509,67.60,1.50,2.27%,14.38
1565,407.50,30.00,7.95%,14.15
3317,90.40,8.20,9.98%,14.14
