9962,25.60,2.30,9.87%,46.70
6104,122.50,11.00,9.87%,45.31
6226,14.10,1.25,9.73%,39.60
6727,116.50,10.50,9.91%,37.71
2007,29.35,0.20,0.69%,36.51
4945,79.50,7.20,9.96%,36.36
6547,299.00,18.50,6.60%,36.22
1742,24.50,1.55,6.75%,34.99
3556,99.70,9.00,9.92%,33.83
5321,42.60,3.85,9.94%,33.54
2491,35.50,-1.70,-4.57%,31.48
3122,61.70,3.90,6.75%,30.17
6229,49.80,-0.70,-1.39%,30.03
2438,13.05,0.60,4.82%,29.85
5344,22.65,0.55,2.49%,29.43
8054,67.10,6.10,10.00%,28.54
3686,22.70,-0.60,-2.58%,27.89
4952,88.70,1.70,1.95%,26.71
5475,50.80,3.20,6.72%,25.90
2030,44.85,-4.15,-8.47%,25.63
8477,46.40,-1.45,-3.03%,25.58
5340,47.90,0.20,0.42%,25.39
5905,18.05,0.05,0.28%,25.35
6509,67.60,1.50,2.27%,25.19
8044,144.50,-1.50,-1.03%,25.15
3588,135.00,8.50,6.72%,25.00
8255,249.50,18.00,7.78%,24.13
2033,25.95,-1.50,-5.46%,23.57
6494,165.50,-0.50,-0.30%,23.51
2025,7.40,0.10,1.37%,23.33
