6457,176.00,16.00,10.00%,10.00
3141,159.50,14.50,10.00%,10.00
6164,13.20,1.20,10.00%,10.00
8215,34.70,3.15,9.98%,9.98
4961,292.00,26.50,9.98%,9.98
3189,209.50,19.00,9.97%,9.97
6129,41.90,3.80,9.97%,9.97
3221,33.10,3.00,9.97%,9.97
5351,45.85,4.15,9.95%,9.95
2332,20.45,1.85,9.95%,9.95
6568,166.00,15.00,9.93%,9.93
6226,15.50,1.40,9.93%,9.93
1569,31.05,2.80,9.91%,9.91
8261,116.50,10.50,9.91%,9.91
8277,16.10,1.45,9.90%,9.90
8028,57.80,5.20,9.89%,9.89
3322,18.35,1.65,9.88%,9.88
6525,107.00,9.60,9.86%,9.86
6134,21.75,1.95,9.85%,9.85
6138,190.00,17.00,9.83%,9.83
3545,246.00,22.00,9.82%,9.82
3006,196.50,17.50,9.78%,9.78
6411,169.00,15.00,9.74%,9.74
2481,113.50,10.00,9.66%,9.66
6271,269.50,23.50,9.55%,9.55
2436,91.00,7.80,9.38%,9.37
2351,159.00,13.50,9.28%,9.28
6651,148.00,12.50,9.23%,9.23
6243,28.00,2.30,8.95%,8.95
2387,57.50,4.70,8.90%,8.90
