9962,23.30,-2.30,-8.98%,111.82
6104,123.00,0.50,0.41%,96.17
6509,63.70,-3.90,-5.77%,91.87
2032,38.30,-1.25,-3.16%,87.88
6170,44.80,-2.10,-4.48%,86.57
2486,64.50,4.40,7.32%,85.88
4919,153.00,5.50,3.73%,83.23
6727,122.00,5.50,4.72%,82.09
1795,152.00,-2.50,-1.62%,79.20
5351,45.85,4.15,9.95%,78.75
2007,26.80,-2.55,-8.69%,78.67
6573,33.60,2.20,7.01%,75.00
2025,6.72,-0.68,-9.19%,73.20
6229,52.80,3.00,6.02%,70.87
6243,28.00,2.30,8.95%,69.18
8255,249.00,-0.50,-0.20%,67.36
3675,178.00,14.50,8.87%,66.36
4945,83.90,4.40,5.53%,66.14
8476,35.10,1.60,4.78%,64.79
2358,23.80,0.30,1.28%,64.14
2030,41.80,-3.05,-6.80%,63.28
3588,133.50,-1.50,-1.11%,63.20
6226,15.50,1.40,9.93%,63.16
3372,30.65,0.15,0.49%,62.60
8261,116.50,10.50,9.91%,59.15
3141,159.50,14.50,10.00%,57.92
5475,49.15,-1.65,-3.25%,57.53
2476,60.80,-0.30,-0.49%,57.51
8054,68.30,1.20,1.79%,57.01
3556,102.00,2.30,2.31%,54.78
