3114,34.65,3.15,10.00%,31.75
3663,40.60,2.40,6.28%,28.48
1783,56.10,1.50,2.75%,24.25
8147,55.90,5.00,9.82%,20.47
1456,26.45,2.40,9.98%,18.34
2007,31.65,-0.10,-0.31%,16.57
6287,17.00,0.20,1.19%,14.09
2024,26.50,1.05,4.13%,13.49
8289,29.15,-0.05,-0.17%,12.98
6226,19.25,1.65,9.38%,12.90
3031,30.20,2.70,9.82%,12.69
8478,79.50,7.20,9.96%,11.97
4541,26.95,0.10,0.37%,11.83
6485,163.00,13.50,9.03%,10.88
6125,26.90,1.80,7.17%,10.70
6541,53.80,1.40,2.67%,10.70
2329,27.00,2.45,9.98%,10.66
9914,335.00,8.00,2.45%,10.56
5321,53.60,0.60,1.13%,9.84
8367,58.40,4.20,7.75%,9.57
2301,64.10,4.30,7.19%,9.20
3556,113.50,5.00,4.61%,9.13
2615,223.50,-24.50,-9.88%,9.02
3167,80.60,7.30,9.96%,8.92
6150,153.00,7.00,4.79%,8.90
2303,57.80,3.20,5.86%,8.85
2641,31.00,-1.45,-4.47%,8.77
4960,13.05,0.70,5.67%,8.75
2371,26.05,0.35,1.36%,8.54
2025,6.75,0.25,3.85%,8.52
