3031,26.80,1.30,5.10%,27.01
6568,207.50,7.00,3.49%,25.00
3021,24.80,2.25,9.98%,24.00
6164,16.20,0.25,1.57%,22.73
3663,31.60,2.85,9.91%,21.07
8367,53.30,4.80,9.90%,20.59
6143,62.10,5.50,9.72%,20.58
2465,69.70,6.30,9.94%,18.74
3545,290.00,14.00,5.07%,17.89
5351,53.70,4.80,9.82%,17.12
1517,31.00,0.60,1.97%,16.10
6538,125.00,11.00,9.65%,15.74
6706,207.00,13.00,6.70%,15.64
1451,23.30,0.10,0.43%,15.63
8436,334.00,4.00,1.21%,15.17
5344,24.80,2.25,9.98%,14.81
5321,48.80,4.40,9.91%,14.55
6525,122.50,0.00,0.00%,14.49
2928,31.55,-0.05,-0.16%,14.10
8016,382.00,15.50,4.23%,14.03
5386,50.50,0.75,1.51%,13.74
3147,61.40,2.40,4.07%,13.70
1783,45.15,2.05,4.76%,13.44
6168,33.00,-2.25,-6.38%,13.21
2399,26.30,0.40,1.54%,13.12
3296,24.75,2.25,10.00%,13.01
8261,131.00,2.50,1.95%,12.45
3346,52.60,-2.80,-5.05%,11.80
8215,38.75,2.05,5.59%,11.67
3437,30.80,-2.55,-7.65%,11.59
