9962,22.50,-0.55,-2.39%,104.55
6287,14.90,-1.05,-6.58%,102.45
6104,126.00,-6.50,-4.91%,101.60
2614,51.90,-3.70,-6.65%,100.00
5351,53.70,4.80,9.82%,100.00
2481,114.50,-1.00,-0.87%,98.10
6226,17.05,0.00,0.00%,87.98
8255,222.00,-19.50,-8.07%,87.93
6170,42.35,-0.60,-1.40%,87.68
3141,167.00,-18.00,-9.73%,86.18
8261,131.00,2.50,1.95%,85.03
8476,38.00,-0.15,-0.39%,81.82
2007,27.15,-2.30,-7.81%,81.00
674191,385.50,15.50,4.19%,79.30
2486,55.50,-4.50,-7.50%,79.03
4919,147.00,-8.00,-5.16%,78.61
6509,57.00,-5.20,-8.36%,78.40
2032,34.65,-3.75,-9.77%,72.91
2030,41.00,-2.80,-6.39%,70.83
1795,148.50,-4.50,-2.94%,68.73
5344,24.80,2.25,9.98%,67.00
2476,57.10,-4.60,-7.46%,66.72
6229,52.10,0.00,0.00%,63.58
6727,110.50,-9.00,-7.53%,62.50
2358,22.90,-0.85,-3.58%,61.84
6756,442.50,-37.00,-7.72%,60.91
2611,31.25,-2.05,-6.16%,60.67
5464,34.20,-2.40,-6.56%,59.07
3556,104.00,-6.50,-5.88%,57.81
5475,42.00,0.20,0.48%,57.60
