6104,111.50,10.00,9.85%,50.68
1742,22.20,0.30,1.37%,48.00
5340,49.50,3.30,7.14%,46.88
6727,103.00,9.10,9.69%,37.15
6229,49.20,2.90,6.26%,32.97
4934,31.80,2.70,9.28%,32.78
5344,22.95,2.05,9.81%,32.28
3383,6.90,0.53,8.32%,31.18
2491,33.85,3.05,9.90%,30.69
6494,170.50,15.50,10.00%,30.65
6142,14.55,1.30,9.81%,28.76
3522,14.05,0.55,4.07%,24.89
8099,36.75,0.85,2.37%,24.58
3306,26.50,0.45,1.73%,23.54
8477,46.80,4.25,9.99%,22.51
8940,16.65,1.50,9.90%,22.43
6202,142.00,4.50,3.27%,22.41
3297,19.35,1.75,9.94%,22.08
4952,86.30,7.80,9.94%,22.07
6226,11.70,1.05,9.86%,21.50
3707,112.50,1.50,1.35%,21.36
8476,34.00,3.05,9.85%,21.00
1795,147.50,13.00,9.67%,20.90
6716,223.00,8.50,3.96%,20.87
5299,238.00,18.00,8.18%,20.81
3438,99.10,9.00,9.99%,20.71
8289,26.45,1.75,7.09%,20.23
3483,109.50,2.00,1.86%,19.67
4919,134.00,-3.00,-2.19%,19.64
2314,62.40,0.50,0.81%,18.86
