2614,52.50,-3.10,-5.58%,174.15
674191,382.00,-20.50,-5.09%,127.38
2030,49.00,4.40,9.87%,121.22
6509,66.10,1.10,1.69%,113.57
9962,23.30,2.10,9.91%,111.82
2032,42.30,1.55,3.80%,111.60
8255,231.50,3.00,1.31%,108.16
2481,108.50,8.50,8.50%,103.18
2007,29.15,2.65,10.00%,101.03
6756,483.50,15.50,3.31%,98.97
2486,61.40,2.20,3.72%,95.23
5425,90.40,5.30,6.23%,87.94
2636,229.00,-6.00,-2.55%,86.94
6573,32.85,-0.85,-2.52%,86.65
2611,31.90,-2.65,-7.67%,86.55
6104,111.50,0.00,0.00%,84.91
2025,7.30,0.04,0.55%,83.42
6170,42.65,-2.00,-4.48%,83.14
2069,45.10,0.10,0.22%,81.12
3141,144.50,-2.00,-1.37%,78.62
2476,60.80,0.20,0.33%,73.47
2641,32.05,-1.75,-5.18%,73.24
3511,52.00,2.10,4.21%,72.76
2022,24.55,-0.85,-3.35%,72.28
5475,47.60,0.30,0.63%,71.22
2615,260.50,-25.50,-8.92%,70.26
5608,56.40,1.30,2.36%,68.11
6229,50.50,1.30,2.64%,68.05
4952,87.00,0.70,0.81%,67.95
2607,38.60,-3.00,-7.21%,67.83
