6104,111.50,0.00,0.00%,45.37
1742,22.95,0.75,3.38%,39.09
6547,280.50,25.50,10.00%,33.57
4934,31.20,-0.60,-1.89%,32.48
5344,22.10,-0.85,-3.70%,31.55
5905,18.00,1.60,9.76%,31.39
2491,37.20,3.35,9.90%,30.76
3438,108.50,9.40,9.49%,29.94
9962,23.30,2.10,9.91%,29.81
3686,23.30,2.10,9.91%,29.44
5340,47.70,-1.80,-3.64%,28.74
6494,166.00,-4.50,-2.64%,28.68
6727,106.00,3.00,2.91%,28.33
8477,47.85,1.05,2.24%,26.59
2007,29.15,2.65,10.00%,26.46
2406,27.65,1.40,5.33%,24.55
6229,50.50,1.30,2.64%,24.08
8044,147.50,3.00,2.08%,23.95
6142,14.60,0.05,0.34%,23.73
2030,49.00,4.40,9.87%,23.58
4945,72.30,6.50,9.88%,23.17
2486,61.40,2.20,3.72%,22.80
2358,23.00,-1.25,-5.15%,22.67
2033,27.45,1.60,6.19%,22.54
3306,26.20,-0.30,-1.13%,22.14
8024,35.00,1.40,4.17%,21.95
6226,12.85,1.15,9.83%,21.80
3383,6.21,-0.69,-10.00%,21.76
5258,26.35,0.35,1.35%,21.43
3219,156.50,-7.00,-4.28%,21.32
