8905,25.85,2.35,10.00%,10.00
3588,126.50,11.50,10.00%,10.00
6547,280.50,25.50,10.00%,10.00
9103,22.00,2.00,10.00%,10.00
4142,53.90,4.90,10.00%,10.00
2007,29.15,2.65,10.00%,10.00
3587,149.00,13.50,9.96%,9.96
2390,29.25,2.65,9.96%,9.96
3176,70.70,6.40,9.95%,9.95
4133,61.90,5.60,9.95%,9.95
6589,144.00,13.00,9.92%,9.92
8054,61.00,5.50,9.91%,9.91
9962,23.30,2.10,9.91%,9.91
3686,23.30,2.10,9.91%,9.91
4746,78.80,7.10,9.90%,9.90
1783,44.40,4.00,9.90%,9.90
2491,37.20,3.35,9.90%,9.90
3122,57.80,5.20,9.89%,9.89
4121,27.80,2.50,9.88%,9.88
4945,72.30,6.50,9.88%,9.88
4106,38.95,3.50,9.87%,9.87
2030,49.00,4.40,9.87%,9.87
6243,23.40,2.10,9.86%,9.86
6113,15.05,1.35,9.85%,9.85
6226,12.85,1.15,9.83%,9.83
3202,14.60,1.30,9.77%,9.77
5905,18.00,1.60,9.76%,9.76
3438,108.50,9.40,9.49%,9.49
2481,108.50,8.50,8.50%,8.50
3264,58.30,3.90,7.17%,7.17
