9962,23.30,2.10,9.91%,113.76
2032,42.30,1.55,3.80%,106.01
6509,66.10,1.10,1.69%,103.07
2030,49.00,4.40,9.87%,100.41
2025,7.30,0.04,0.55%,96.77
2486,61.40,2.20,3.72%,95.54
2007,29.15,2.65,10.00%,91.78
8255,231.50,3.00,1.31%,85.86
6104,111.50,0.00,0.00%,83.99
6170,42.65,-2.00,-4.48%,80.52
6573,32.85,-0.85,-2.52%,75.67
2476,60.80,0.20,0.33%,70.79
4919,134.50,0.50,0.37%,69.82
6229,50.50,1.30,2.64%,68.05
6727,106.00,3.00,2.91%,66.67
1795,140.50,-7.00,-4.75%,66.03
5425,90.40,5.30,6.23%,65.87
3511,52.00,2.10,4.21%,65.34
5464,36.55,-0.05,-0.14%,63.90
2358,23.00,-1.25,-5.15%,63.70
3675,158.00,-7.00,-4.24%,61.22
2069,45.10,0.10,0.22%,59.93
3372,28.85,0.30,1.05%,58.95
2023,38.55,-2.15,-5.28%,58.64
5014,28.20,-0.75,-2.59%,58.43
4739,120.50,-2.50,-2.03%,58.02
6215,36.00,0.25,0.70%,57.89
3588,126.50,11.50,10.00%,57.73
6548,99.60,3.70,3.86%,57.59
6716,217.00,-6.00,-2.69%,56.68
