6104,111.50,0.00,0.00%,56.38
6229,50.50,1.30,2.64%,55.86
4919,134.50,0.50,0.37%,54.78
2491,37.20,3.35,9.90%,52.77
6727,106.00,3.00,2.91%,52.52
3122,57.80,5.20,9.89%,51.71
4952,87.00,0.70,0.81%,51.57
6716,217.00,-6.00,-2.69%,51.22
1742,22.95,0.75,3.38%,50.99
3219,156.50,-7.00,-4.28%,49.05
8024,35.00,1.40,4.17%,48.62
8476,32.40,-1.60,-4.71%,48.28
2358,23.00,-1.25,-5.15%,47.44
3675,158.00,-7.00,-4.24%,43.64
9962,23.30,2.10,9.91%,42.94
6215,36.00,0.25,0.70%,41.73
3438,108.50,9.40,9.49%,41.28
5340,47.70,-1.80,-3.64%,41.12
6243,23.40,2.10,9.86%,40.96
6226,12.85,1.15,9.83%,38.92
5344,22.10,-0.85,-3.70%,38.13
8054,61.00,5.50,9.91%,37.23
3588,126.50,11.50,10.00%,36.76
8044,147.50,3.00,2.08%,36.57
3383,6.21,-0.69,-10.00%,36.18
6202,135.50,-6.50,-4.58%,35.50
5905,18.00,1.60,9.76%,35.34
4945,72.30,6.50,9.88%,33.64
3707,106.50,-6.00,-5.33%,33.63
3556,90.70,3.40,3.89%,33.58
