2032,37.55,0.35,0.94%,88.22
6170,43.65,-3.50,-7.42%,85.13
6509,59.10,0.80,1.37%,82.69
8255,223.50,2.50,1.13%,79.43
674191,366.00,22.50,6.55%,78.10
2030,40.55,1.30,3.31%,77.85
9962,19.30,0.15,0.78%,75.45
2025,6.60,0.00,0.00%,73.68
5464,36.05,-1.95,-5.13%,72.49
4919,137.00,7.00,5.38%,72.11
2476,61.00,5.50,9.91%,71.59
6287,13.00,0.50,4.00%,68.83
2007,24.10,0.45,1.90%,67.94
2486,53.90,2.10,4.05%,65.85
3511,50.80,3.00,6.28%,62.30
6573,31.70,1.60,5.32%,61.32
2023,37.25,0.45,1.22%,61.26
2614,50.60,-5.60,-9.96%,60.89
6104,101.50,8.80,9.49%,60.60
1795,134.50,7.00,5.49%,58.94
3675,160.00,-4.00,-2.44%,58.42
4739,122.00,0.50,0.41%,56.41
2024,26.70,-0.30,-1.11%,56.14
5013,46.70,2.10,4.71%,55.67
3141,156.00,2.50,1.63%,55.22
3189,193.00,-2.50,-1.28%,55.02
5285,127.00,4.50,3.67%,54.88
6215,36.70,0.85,2.37%,53.56
2022,23.10,-1.10,-4.55%,52.98
6716,214.50,1.50,0.70%,52.13
