2614,50.60,-5.60,-9.96%,183.47
674191,366.00,22.50,6.55%,107.95
8255,223.50,2.50,1.13%,101.86
6756,492.50,-8.50,-1.70%,97.00
2611,35.35,2.35,7.12%,96.39
2481,102.50,2.50,2.50%,91.59
3141,156.00,2.50,1.63%,89.55
6509,59.10,0.80,1.37%,87.62
2636,244.00,-13.50,-5.24%,84.85
2486,53.90,2.10,4.05%,83.65
6170,43.65,-3.50,-7.42%,81.79
2030,40.55,1.30,3.31%,79.42
2032,37.55,0.35,0.94%,78.81
2615,286.00,7.50,2.69%,77.64
2607,42.00,2.10,5.26%,76.47
6287,13.00,0.50,4.00%,75.68
2641,34.80,-0.45,-1.28%,74.44
3530,236.00,6.00,2.61%,71.01
5464,36.05,-1.95,-5.13%,70.45
2476,61.00,5.50,9.91%,69.44
5425,83.60,-3.80,-4.35%,69.23
9962,19.30,0.15,0.78%,68.56
6573,31.70,1.60,5.32%,68.17
2609,188.00,9.00,5.03%,67.11
6716,214.50,1.50,0.70%,66.93
5285,127.00,4.50,3.67%,66.01
6104,101.50,8.80,9.49%,65.85
2025,6.60,0.00,0.00%,65.41
6215,36.70,0.85,2.37%,63.11
3189,193.00,-2.50,-1.28%,62.87
