1742,21.90,1.95,9.77%,32.73
6104,101.50,8.80,9.49%,32.33
3383,6.37,0.20,3.24%,24.90
5340,46.20,4.20,10.00%,24.70
5344,20.90,1.65,8.57%,24.40
4934,29.10,0.95,3.37%,23.57
6547,258.50,17.50,7.26%,23.10
3707,111.00,4.00,3.74%,22.52
3306,26.05,2.35,9.92%,21.45
8099,35.90,0.90,2.57%,21.08
6494,155.00,14.00,9.93%,20.16
2476,61.00,5.50,9.91%,19.37
3522,13.50,0.10,0.75%,18.42
6516,132.50,12.00,9.96%,18.30
8044,140.50,12.50,9.77%,18.07
2358,22.05,0.95,4.50%,17.60
5351,38.20,0.10,0.26%,17.54
2607,42.00,2.10,5.26%,15.70
8024,33.15,3.00,9.95%,15.51
6715,127.50,0.00,0.00%,14.35
8420,33.30,-0.70,-2.06%,13.85
6229,46.30,4.20,9.98%,13.76
6727,93.90,0.90,0.97%,13.68
6202,137.50,12.50,10.00%,13.64
3141,156.00,2.50,1.63%,13.04
3551,60.80,1.10,1.84%,12.80
8477,42.55,3.85,9.95%,12.57
1802,46.00,2.80,6.48%,12.47
6142,13.25,1.20,9.96%,12.29
2612,71.20,-5.60,-7.29%,11.95
